id,label
24954,0
3482,0
31571,0
31506,1
10099,0
13217,0
33,0
11257,0
19413,0
19961,0
6238,0
28898,1
7158,0
7416,0
15694,0
31943,0
20633,0
14292,0
23335,0
4031,0
5604,0
16815,0
1397,0
3374,0
21336,0
13081,1
9213,0
8841,0
14715,0
16451,0
5120,0
22380,1
31671,0
24160,0
22321,0
8726,0
21888,0
25464,0
27162,0
21316,0
18643,0
26352,0
13355,0
8240,0
5233,0
15790,0
20117,0
22174,0
8339,0
9286,0
14006,0
16673,0
19061,0
29968,0
21519,0
1548,0
10924,0
9629,0
4559,1
7675,0
7303,0
19468,0
10883,0
20471,0
8936,0
512,0
29574,0
22961,0
15839,0
23429,0
31137,0
683,0
1669,0
20065,1
4732,0
11532,0
3091,0
12932,0
8484,0
21200,0
31904,1
23466,0
21498,0
22297,0
6343,0
31718,0
24716,1
31501,0
27149,0
31185,0
18216,0
6307,0
11828,0
21508,0
9054,0
7859,0
19729,0
31000,0
17169,0
20203,0
7829,0
22526,0
6564,0
1309,0
5342,0
5180,0
20661,0
16131,0
30271,0
12658,0
27581,0
28274,0
10701,0
31199,1
27037,0
24620,0
7741,1
12618,0
24903,0
7683,0
18023,0
20052,0
27366,1
6124,0
280,0
420,0
30275,0
18493,0
946,0
16415,1
16554,0
15334,0
20120,0
3349,0
16480,0
1349,0
6749,0
9647,0
4654,0
30189,0
7344,0
29127,0
30957,0
17490,0
7743,0
8890,0
22862,0
1360,0
1745,0
18707,0
21752,0
1671,0
10888,0
18270,0
26285,1
9199,0
9940,0
542,0
2730,0
10905,0
6427,0
30046,0
20218,0
21284,0
24723,0
26657,0
28309,0
30711,0
17939,0
18340,0
17347,0
26966,0
6227,0
12268,0
24403,0
897,0
18442,0
4263,0
17582,0
28709,0
5391,0
6286,0
19837,0
15499,0
1488,0
13311,0
25483,0
22118,0
3804,0
27145,0
23932,0
10499,0
29758,0
22003,0
13768,0
26512,0
1775,0
16,0
22248,0
30894,0
14360,0
6046,1
29885,0
28433,0
10198,0
23555,0
26271,0
7574,0
25494,1
13667,0
25339,0
6561,0
8145,0
24738,0
19920,0
19142,0
26260,0
25146,0
13280,0
31749,0
18986,0
24536,0
21645,0
7954,0
2371,0
8334,0
21681,0
19593,0
27946,0
27643,0
7922,0
15942,0
23359,0
19334,0
19285,0
29951,0
7003,0
14914,0
5170,0
13450,0
28497,0
28799,0
18996,0
28869,0
5795,0
28293,0
13989,0
5456,0
5808,0
23937,0
30989,0
7186,0
17233,0
3459,0
26641,0
17473,0
17468,0
25577,0
24289,0
29045,0
11955,0
9705,0
9271,0
16755,0
1884,0
5394,0
30222,0
17225,0
24208,0
17777,0
21971,0
30434,0
12386,0
7277,1
13817,0
5246,0
28279,0
24960,0
27077,0
20541,0
18144,0
15631,0
30803,0
8795,0
750,1
30226,0
27337,0
30452,0
4032,0
13290,0
27799,0
27254,0
28455,0
24430,0
7610,0
11324,0
22381,0
19322,0
24520,0
1570,0
9704,0
30224,0
11359,0
4571,0
3196,0
20670,0
27935,0
24818,0
19395,0
31183,0
20157,0
15443,0
1201,0
5560,0
5843,0
9043,0
23146,0
4216,0
12158,0
20773,0
8761,0
29073,0
7139,0
30595,0
3666,0
24645,0
8736,0
31653,0
11779,0
26139,0
23415,0
10948,0
29528,0
22375,0
26893,0
5088,0
16372,0
20014,0
26869,0
18313,0
3315,0
25215,0
21910,0
19931,0
20332,0
18370,0
14699,0
31223,0
21091,0
22784,0
8997,0
26471,0
29774,0
9711,0
27314,0
8319,0
28368,0
27986,0
30649,0
26631,0
16557,0
4619,0
12486,0
27652,0
11539,0
13646,0
27237,0
14895,0
12808,0
28172,0
18290,0
31324,0
2464,0
1971,0
21100,0
19774,0
1807,0
11641,0
7002,0
9740,0
7872,0
17497,0
15274,0
14844,0
26918,0
6922,0
4405,0
14253,0
7011,0
25721,0
11441,0
13526,0
4973,0
16378,0
28267,0
22818,0
17719,0
25375,0
14010,0
12641,0
501,0
2674,0
15940,0
17148,0
10708,0
19377,0
3487,0
22664,0
31599,0
19155,0
31513,0
15415,0
15285,0
509,0
20434,0
19042,0
25415,0
26276,0
3452,0
13395,0
26636,0
13576,0
25436,1
21148,0
6252,0
4354,0
18084,0
17061,0
14009,0
1571,0
17814,0
3950,0
16400,1
4281,0
17211,0
3188,0
8998,0
13276,0
9829,0
6931,0
15651,0
31310,0
27442,0
2627,0
20884,0
4500,0
30165,0
5128,0
19650,0
24801,0
26133,0
4184,0
15279,0
28200,0
30840,1
833,0
20796,0
9961,0
28515,0
12022,0
7700,0
10194,0
7493,0
9296,0
26970,0
22685,0
4770,0
25981,0
18153,0
8597,0
29130,0
30217,0
17362,0
18333,0
26508,0
29261,0
16192,1
22693,0
2684,0
10418,0
28854,0
10607,0
3228,0
4148,0
1926,0
29157,0
17547,0
15814,0
4546,0
11271,0
5992,0
26147,0
29805,0
29803,0
22592,0
27373,0
28717,0
14753,0
8723,0
7822,0
11908,0
20909,0
25755,0
5433,0
25854,0
18955,1
28179,0
21575,0
26608,0
31503,0
17445,0
31525,0
4836,0
5679,0
8636,0
9275,0
10315,0
28711,0
13818,1
27668,0
24488,0
14682,0
5011,0
9848,0
1244,0
2920,0
3567,0
21874,0
